Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer
FRISIUM 10MG TAB,,,1'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,42,39,1,0,
IV CANULA 22(CATHULA),,,1'S,,ABBOTT INDIA LTD,,5,105,,,,,5,2,1,0,
IV CANULA 24 (NEOFLON),,,1'S,,ABBOTT INDIA LTD,,5,105,,,,,5,2,1,0,
IVEOLYTE-P 500 ML,,,1'S,,FDC LIMITED,,5,57,,,,,16.12,12.79,11.81,318.99,Buy 5 get 1
IVEPRED 16MG TAB,,,1'S,,AAMORB PHARMACEUTICALS PVT LTD,,5,105,,,,,15,13,1,0,Buy 5 get 1
LASIX-40 TAB,,,1'S,,DKT INDIA,,14.5,130,,,,,50,38.1,11.4,4924.8,
MODAFIL MD 100MG TAB,,,1'S,,ORGANON (INDIA) LTD,,5,45,,,,,70,53.34,24.54,24.54,Buy 10 get 1
NICARDIA CAPSULES  10MG,,,1'S,,CIPLA LTD,,5,45,,,,,319,316,1,0,
PEXEP CR 12.5MG TAB,,,1'S,,MANKIND PHARMA LTD,,5,1,,,,,499,496,1,0,
PRYNERVE-M 75MG TAB,,,1'S,,ALERE,,5,118,,,,,45,42,0.01,0.8,Buy 5 get 1
SPINAL NEEDLE 18 BD,,,1'S,,ELDER PHARMACEUTICALS PVT LTD,,5,1,,,,,43,40,1,0,Buy 5 get 1
SYNDOPA PLUS TAB,,,1'S,,FDC LIMITED,,5,69,,,,,40.6,37.6,1,0,Buy 5 get 1
TUSQ D COUGH LOZENGES(ORANGE),,,10 G,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,71.26,68.26,1,0,Buy 5 get 1
BUDATE TRANSPULES,,,10 GM,,BAYER PHARMA,,5,57,,,,,49.07,46.07,1,0,Buy 5 get 1
CLOPIXOL DEPOT 200MG/ML INJ,,,10 GM,,GLAXO TEAM 4,,5,53,,,,,53.85,50.85,1,0,
COROLATE INJ (GLYCOPYRROLATE),,,10 GM,,GLAXO TEAM II DERMA,,5,73,,,,,122.2,119.2,1,0,Buy 5 get 1
CREMADIET PDR 140G,,,10 GM,,GLAXO TEAM II DERMA,,5,1,,,,,54,51,1,0,Buy 5 get 1
DEXTROSE 5% 500ML (BAXTER),,,10 GM,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,95,92,1,0,
DEZACOR 6MG TAB,,,10 GM,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,119,116,1,0,
DIPT TAB,,,10 GM,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,44,41,1,0,
MAGNESIUM SULPHATE PASTE 15GM,,,10 GM,,MICRO LABS LTD (INDIA),,5,86,,,,,63,48.51,45.11,180.44,
NS 500ML (FRE.KABI),,,10 GM,,INDI PHARMA PVT LTD,,5,68,,,,,68,65,1,0,
REXIDIN MOUTH WASH 60 ML,,,10 GM,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,148,111.77,102.83,1028.29,
SINGULAIR 10MG TAB,,,10 GM,,BIOCON LIMITED,,5,9,,,,,400,397,1,0,
VIBACT CAPS,,,10 GM,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,35.23,32.23,1,0,Buy 5 get 1
4-QUIN EYE DROPS 0.5%,,,10 ML,,BIOCON LIMITED,,5,9,,,,,145.55,142.55,1,0,
ALLERCET DC TAB,,,10 ML,,CIPLA LTD,,5,45,,,,,17.1,13.16,10.96,295.8,Buy 5 get 1
BUTODOL-1MG INJ 1ML,,,10 ML,,BIOCON LIMITED,,5,9,,,,,135.1,132.1,1,0,
C PINK 100MG TAB,,,10 ML,,BIOCON LIMITED,,5,9,,,,,145.66,142.66,1,0,
CEFOLAC SUSPENSION 30ML,,,10 ML,,GLAXO ENTRO PLUS TEAM I,,5,1,,,,,50.75,47.75,1,0,
CLARIWIN TAB 250MG,,,10 ML,,GLAXO TEAM 4,,5,1,,,,,23.75,20.75,1,0,
COGNIX INJ 15ML,,,10 ML,,GLAXO TEAM 4,,5,1,,,,,15.54,12.54,1,0,
DIPEP CAP,,,10 ML,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,65,62,1,0,
ECOSPRIN GOLD 20mg TAB,,,10 ML,,RANBAXY LABORATORIES LTD,,5,62,,,,,34.65,31.65,1,0,Buy 5 get 1
HEMSI SYRUP,,,10 ML,,WARREN,,5,69,,,,,66.55,63.55,1,0,
MALE EXTERNAL CATHETER-L(ROM),,,10 ML,,NOVARTIS (INDIA) LTD,,5,53,,,,,64,48.76,39.25,2158.85,
NEOPAM INJ 500MG,,,10 ML,,BLUE CROSS LABORATORIES LTD,,14.5,,,,,,30,26,,,Buy 10 get 2
NEOVEC -10MG INJ,,,10 ML,,CENTAUR PHARMACEUTICALS PVT LTD,,5,,,,,,25,21,,,Buy 10 get 1
NORMAXIN TAB,,,10 ML,,HIMALAYA,,5,37,,,,,35,32,1,0,
PHEXIN 250MG TAB,,,10 ML,,MANKIND PHARMA LTD,,5,37,,,,,24.99,21.99,1,0,
PYRICONTIN TAB,,,10 ML,,WARREN,,5,69,,,,,33.35,30.35,1,0,
SUPRAVA-TZ INJ,,,10 ML,,FDC LIMITED,,5,57,,,,,36.2,33.2,1,0,
3 WAY STOPCOCK WITH EXT 4.1ML,,,10'S,,ATLANTA BIOTEC,,5,60,,,,,15,12.5,1,0,
ABDOMINAL CORSET 40 (DYNA),,,10'S,,BIOCON LIMITED,,5,9,,,,,82,79,1,0,Buy 5 get 1
ACAMPROL 333MG TAB,,,10'S,,FDC LIMITED,,5,69,,,,,12,9,1,0,
ACAMPTAS 333 TAB,,,10'S,,FDC LIMITED,,5,57,,,,,26,23,1,0,Buy 5 get 1
ACEFINAC-P TAB,,,10'S,,FDC LIMITED,,5,57,,,,,21,18,1,0,Buy 5 get 1
ACER-TH TAB,,,10'S,,FDC LIMITED,,5,69,,,,,34.25,31.25,1,0,Buy 5 get 1
ACETRA P TAB,,,10'S,,FDC LIMITED,,5,57,,,,,16.5,13.5,1,0,Buy 5 get 1
ACETRA SP TAB,,,10'S,,FDC LIMITED,,5,57,,,,,67,64,1,0,Buy 5 get 1
ACILOC RD TAB,,,10'S,,FDC LIMITED,,5,57,,,,,85.25,82.25,1,0,Buy 5 get 1
ACIVIR EYE OINTMENT,,,10'S,,FDC LIMITED,,5,57,,,,,21.5,18.5,1,0,Buy 5 get 1
ACUCLAV IV 1.2GM INJ,,,10'S,,MICRO LABS LTD (INDIA),,5,53,,,,,125,122,1,0,Buy 5 get 1
ADDWIZE OD 18MG TAB,,,10'S,,MICRO LABS LTD (INDIA),,5,73,,,,,53,50,1,0,Buy 5 get 1
ADENOCOR 2ML INJ,,,10'S,,MICRO LABS LTD (INDIA),,5,1,,,,,42,39,1,0,Buy 5 get 1
ADIZA 10MG TAB,,,10'S,,MICRO LABS LTD (INDIA),,5,56,,,,,64.8,61.8,1,0,Buy 5 get 1
ADMENTA 10MG TAB,,,10'S,,NEBULAE PHARMACEUTICALS,,5,10,,,,,22,19,1,0,
ADULT DIAPER MEDIUM(FINE),,,10'S,,NOHA'S LABORATORIES,,5,59,,,,,69.72,66.72,1,0,
ADULT DIAPER MEDIUM(RMS),,,10'S,,UNIQUE PHARMACEUTICALS LABS LTD,,5,1,,,,,19.95,16.95,1,0,
AEROMIST CHILD NEBULISER,,,10'S,,UNIQUE PHARMACEUTICALS LABS LTD,,5,1,,,,,25.3,22.3,1,0,
AEROMIST NEBULISER MASK ADULT,,,10'S,,UNIQUE PHARMACEUTICALS LABS LTD,,5,56,,,,,16.43,13.43,1,0,
AIROPRONG NASAL,,,10'S,,UNIVERSAL MEDICARE LIMITED,,5,1,,,,,66,63,1,0,
AIROWEN T OXEYGENATOR,,,10'S,,UNIVERSAL MEDICARE LIMITED,,5,56,,,,,110,107,1,0,
AIRWAYS- 2,,,10'S,,UNIVERSAL MEDICARE LIMITED,,5,56,,,,,115,112,1,0,Buy 5 get 1
ALKOF SYP 100ML,,,10'S,,OZONE PHARMACEUTICALS,,5,92,,,,,15.75,12.7,11.49,1149,Buy 5 get 1
ALLERDE TAB,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,86,,,,,17.42,13.27,12.34,61.7,
ALOKEM 75% GEL,,,10'S,,FRANCO INDIAN DIABETIC,,5,45,,,,,17.55,13.5,12.42,484.38,
ALPRAX 0.5MG TAB,,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,78,,,,,34.88,26.51,22.17,133.03,Buy 5 get 1
ALTIPOD CV 200MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,36.73,28.28,26.3,552.3,Buy 5 get 1
AMBISTRYN-S 0.75GM INJ,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,37,28.49,26.5,185.5,
AMBRODIL 30MG TAB,,,10'S,,TROIKAA PHARMACEUTICALS LTD,,5,69,,,,,41.25,31.43,26.98,485.67,Buy 5 get 1
AMERENTH S OIL 100ML,,,10'S,,UNICHEM LABORATORIES LTD,,5,56,,,,,40.11,32.93,30.62,153.1,
AMIFRU-40MG TAB,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,90,,,,,43.5,33.14,30.49,853.72,
AMIODON 150MG /3ML INJ,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,44,33.52,31.17,748.08,
AMLOKIND-H TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,44.3,34.1,31.62,1296.54,
AMLOKIND-L TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,44.5,34.26,31.78,1239.48,
AMLOPRES 5 mg TAB,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,45,,,,,45,34.65,32.22,32.22,
AMTAS AT 25mg TAB,,,10'S,,ABBOTT INDIA LTD,,5,1,,,,,53,43.28,36.28,1523.79,
ANETOL 1000MG/100ML IV,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,56.43,43.43,40.39,444.29,
ANGICAM-5MG TAB,,,10'S,,PFIZER LIMITED,,5,45,,,,,77,58.66,48.57,97.14,Buy 10 get 1
ANTIPLAR-75MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,218,166.1,154.47,617.88,Buy 10 get 1
ANXIT 0.5MG TAB,,,10'S,,NOVARTIS (INDIA) LTD,,5,25,,,,,220,169.67,156.46,3755.13,Buy 10 get 1
ANXOZAP-10MG TAB,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,229,179.64,167.07,2673.06,
ARGINE SACHET,,,10'S,,FERRING PHARMACEUTICALS,,5,,,,,,25,21,,,Buy 10 get 1
ARISTOZYME LIQUID 200ML,,,10'S,,MICRO CARSYON,,5,,,,,,35,31,,,Buy 10 get 1
ARKAMIN TAB,,,10'S,,MICRO CARSYON,,5,,,,,,35,31,,,Buy 10 get 1
ARM SLING POUCH-L(DYNA),,,10'S,,RPG LIFE SCIENCES LTD,,5,,,,,,35,31,,,Buy 10 get 1
ARMSLING POUCH L(DYNA),,,10'S,,RPG LIFE SCIENCES LTD,,5,,,,,,35,31,,,Buy 10 get 1
AVIL-25MG TAB,,,10'S,,FOCUS HEALTHCARE PVT LTD,,5,124,,,,,50,46,,,Buy 3 get 1
AXEPTA-10MG TAB.,,,10'S,,FOCUS HEALTHCARE PVT LTD,,5,124,,,,,25,21,,,Buy 3 get 1
AZEE 200 SUSP,,,10'S,,CIPLA LTD,,5,45,,,,,20.16,17.16,1,0,Buy 5 get 1
AZEE 500MG TAB,,,10'S,,CIPLA LTD,,5,45,,,,,61,58,1,0,
AZEEFIT 250MG TAB,,,10'S,,CIPLA LTD,,5,45,,,,,150,147,1,0,
BABY KIT,,,10'S,,CIPLA LTD,,5,45,,,,,65.93,62.93,1,0,
BACLOF 10MG TAB,,,10'S,,CIPLA LTD,,5,45,,,,,190,187,1,0,
BACLOF OD 20MG TAB,,,10'S,,CIPLA LTD,,5,45,,,,,42.61,39.61,1,0,
BECOSULES CAP,,,10'S,,ALKEM LABORATORIES LTD,,5,1,,,,,59,55,1,0,Buy 5 get 1
BECOSULES SYP 120ML,,,10'S,,ALKEM LABORATORIES LTD,,5,1,,,,,69,62.5,1,0,Buy 5 get 1
BENZYL PENCILLIN INJ,,,10'S,,ANGLO FRENCH DRUGS & INDUSTRIES,,5,57,,,,,38.6,34,1,0,
BEPARINE INJ 5000 IU  5ML (HEPARIN),,,10'S,,APEX LABORATORIES LTD,,5,69,,,,,79,72.5,1,0,
BESPROL 10MG TAB,,,10'S,,ARIEN LABS,,5,96,,,,,120,115.5,1,0,
BESTODOL 100MG 2ML,,,10'S,,ARIEN LABS,,5,96,,,,,23,22.5,1,0,Buy 5 get 1
BETADINE GARGLE 2% 50ML,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,56,,,,,35.89,31.5,1,0,Buy 5 get 1
BETNESOL TAB,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,56,,,,,31.65,28.5,1,0,Buy 5 get 1
BI TO ZED TAB,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,62,,,,,96.42,90.5,1,0,Buy 5 get 1
BIALKA-100ML,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,47.3,42.5,1,0,Buy 5 get 1
BIODEXONE INJ ( DEXAMETHASONE),,,10'S,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,17,12.5,1,0,Buy 5 get 1
BIOVAC V VACCINE(VARICELLA VACCINE),,,10'S,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,523.7,510.8,1,0,Buy 5 get 1
BUPRIGESIC 0.6MG 2ML,,,10'S,,BIDDLE SAWYER LIMITED,,5,64,,,,,57.85,54.85,1,0,
BURNOWIN CREAM 500GM(SILVER,,,10'S,,BIOCHEM PHARMACEUTICAL INDUSTRIAL LTD,,5,57,,,,,23.57,20.57,1,0,
BUSCOPAN PLUS TAB,,,10'S,,BIOCON LIMITED,,5,9,,,,,70,67,1,0,
C-BACTUM FORTE INJ 1.5G,,,10'S,,BLUE CROSS LABORATORIES LTD,,14.5,1,,,,,29,26,1,0,Buy 5 get 1
C-FURO 250MG TAB,,,10'S,,FIRST LINE PHARMACEUTICALS,,5,104,,,,,45,42,1,0,
C-FURO 500MG TAB,,,10'S,,FIRST LINE PHARMACEUTICALS,,5,104,,,,,36,33,1,0,
C-FURO 750MG INJ,,,10'S,,FIRST LINE PHARMACEUTICALS,,5,104,,,,,36,33,1,0,
CALAMINE LOTION 100GM,,,10'S,,GENO PHARMACEUTICALS LTD,,5,53,,,,,21.77,18.77,1,0,
CALAPTIN 120MG SR TAB,,,10'S,,GERMAN REMEDIES,,5,1,,,,,42.8,39.8,1,0,
CALAPTIN-40MG TAB,,,10'S,,GERMAN REMEDIES,,5,1,,,,,144.9,141.9,1,0,
CALCI-BEST 1GM SACHET,,,10'S,,GERMAN REMEDIES,,5,1,,,,,39.5,36.5,1,0,
CALCIMAX-K2 TAB,,,10'S,,GERMAN REMEDIES,,5,1,,,,,3.25,0.25,1,0,
CALCIUM GLUCONATE 10% 10ML INJ,,,10'S,,GERMAN REMEDIES,,5,1,,,,,18.25,15.25,1,0,
CALDOB CAPSULE,,,10'S,,GERMAN REMEDIES,,5,135,,,,,10.83,7.83,1,0,Buy 5 get 1
CALOSOFT LOTION-50ML,,,10'S,,GERMAN REMEDIES,,5,1,,,,,35.4,32.4,1,0,Buy 5 get 1
CALPOL T TAB,,,10'S,,GERMAN REMEDIES,,5,1,,,,,12,9,1,0,Buy 5 get 1
CANDID-V1 TAB,,,10'S,,GLAXO ASCLEPIUS TEAM III,,5,1,,,,,52,49,1,0,Buy 5 get 1
CANDID-V3 TAB,,,10'S,,GLAXO ASCLEPIUS TEAM III,,5,1,,,,,89,86,1,0,Buy 5 get 1
CARMICIDE SYP (A)-100ML,,,10'S,,GLAXO ASCLEPIUS TEAM III,,5,1,,,,,58,55,1,0,Buy 5 get 1
CARMICIDE SYP (P) 100ML,,,10'S,,GLAXO ASCLEPIUS TEAM III,,5,1,,,,,185,182,1,0,
CEFIX 100MG TAB,,,10'S,,GLAXO ENTRO PLUS TEAM I,,5,,,,,,46,43,1,0,
CEFIX 200 DT TAB,,,10'S,,GLAXO ENTRO PLUS TEAM I,,5,1,,,,,58.54,55.54,1,0,
CEFIX 200MG TAB,,,10'S,,GLAXO ENTRO PLUS TEAM I,,5,1,,,,,129.73,126.73,1,0,
CEFOACT 200MG TAB,,,10'S,,GLAXO ENTRO PLUS TEAM I,,5,,,,,,230,227,1,0,
CEZOTUM 1.5G INJ,,,10'S,,GLAXO SMITHKLIME PHARMACEUTICALS LTD,,5,1,,,,,40,37,1,0,
CHYMOTIL TAB,,,10'S,,GLAXO SMITHKLIME PHARMACEUTICALS LTD,,5,64,,,,,38.75,35.75,1,0,
CIFRAN 500MG TAB,,,10'S,,GLAXO SMITHKLIME PHARMACEUTICALS LTD,,5,62,,,,,20.35,17.35,1,0,
CIFRAN OZ TAB,,,10'S,,GLAXO SMITHKLIME PHARMACEUTICALS LTD,,5,1,,,,,5.09,2.09,1,0,
CILAGARD-10MG TAB,,,10'S,,GLAXO SMITHKLIME PHARMACEUTICALS LTD,,5,64,,,,,15.32,12.32,1,0,Buy 5 get 1
CINZ-25MG TAB,,,10'S,,GLAXO SMITHKLIME PHARMACEUTICALS LTD,,5,64,,,,,101.25,98.25,1,0,Buy 5 get 1
CINZEP 0.5MG TAB,,,10'S,,GLAXO SMITHKLIME PHARMACEUTICALS LTD,,5,64,,,,,46.25,43.25,1,0,Buy 5 get 1
CIPCAL 500MG TAB,,,10'S,,GLAXO SMITHKLIME PHARMACEUTICALS LTD,,5,1,,,,,12.2,9.2,1,0,Buy 5 get 1
CIPLAR 10MG TAB.,,,10'S,,GLAXO SMITHKLIME PHARMACEUTICALS LTD,,5,1,,,,,75,72,1,0,Buy 5 get 1
CIPLOX 500MG TAB,,,10'S,,GLAXO TEAM 4,,5,,,,,,49.5,46.5,1,0,Buy 5 get 1
CIPLOX D EYE DROP 10ML,,,10'S,,GLAXO TEAM 4,,5,1,,,,,22.3,19.3,1,0,
CIPLOX EYE/EAR DROP 10ML,,,10'S,,GLAXO TEAM 4,,5,,,,,,11.7,8.7,1,0,
COGNIX PLUS TAB,,,10'S,,GLAXO TEAM 4,,5,1,,,,,7.38,4.38,1,0,
COLICAID DROPS,,,10'S,,GLAXO TEAM 6,,5,1,,,,,3.27,0.27,1,0,
COLOPLAST WAFER 60MM,,,10'S,,GLAXO TEAM 8,,5,1,,,,,51,48,1,0,
COMBIFLAM SUS 60ML,,,10'S,,GLAXO TEAM 8,,5,1,,,,,28.6,25.6,1,0,
COMBIFLAM TAB,,,10'S,,GLAXO TEAM 8,,5,1,,,,,40.7,37.7,1,0,
COMBIMIST-L RESPULES 2.5ML,,,10'S,,GLAXO TEAM 8,,5,53,,,,,43.3,40.3,1,0,
COMBUTOL 1000MG TAB,,,10'S,,GLAXO TEAM 8,,5,56,,,,,61.2,58.2,1,0,
CORTISON OPTICHLOR EYE OINT 3GM,,,10'S,,GLAXO TEAM II DERMA,,5,1,,,,,25.25,22.25,1,0,Buy 5 get 1
CPINK SUSP-150ML,,,10'S,,GLAXO TEAM II DERMA,,5,1,,,,,22.4,19.4,1,0,Buy 5 get 1
CTD 6.25mg TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,189,186,1,0,
CUFF N COLLAR SLING,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,399,396,1,0,
CuteE 400 CAP,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,699,696,1,0,
CYCLOPAM SUSP-30ML,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,81.3,78.3,1,0,
CYCLOPAM TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,173.5,170.5,1,0,
DAONIL 5MG TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,119.9,116.9,1,0,
DAPSONE TAB 100MG.,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,71.6,68.6,1,0,
DAROLAC SACHET,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,122.6,119.6,1,0,
DEBRIN CREAM 15GM,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,245,242,1,0,
DECERIN-CM TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,37,,,,,44.9,41.9,1,0,Buy 5 get 1
DEMISONE TAB(DEXAMETHASONE),,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,71.2,68.2,1,0,Buy 5 get 1
DEPLATT 75mg TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,37,,,,,39.9,36.9,1,0,Buy 5 get 1
DEPO-PROVERA INJ 150MG/IML,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,63.5,60.5,1,0,Buy 5 get 1
DEPRAN 5mg TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,48,45,1,0,Buy 5 get 1
DERIPHYLLIN 2ML INJ,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,53,,,,,73,70,1,0,Buy 5 get 1
DEXASONE 2ML,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,58,55,1,0,Buy 5 get 1
DEXORANGE ADULT SYP.,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,1,,,,,95.2,92.2,1,0,
DEXORANGE CAPS,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,61.5,58.5,1,0,
DEZLORID TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,58,55,1,0,
DIBIZIDE-5MG TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,168,165,1,0,
DICLOGESIC RR 2ML INJ,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,117,114,1,0,
DICORATE ER 500MG TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,71.7,68.7,1,0,
DIGENE TAB.,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,37,,,,,86.3,83.3,1,0,
DIGINE GEL-200ML,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,75,72,1,0,
DILANTIN 100MG CAP,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,53.3,50.3,1,0,
DILANTIN 50MG 2ML INJ,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,58,55,1,0,
DIPT-P TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,157.2,154.2,1,0,
DISULFIRAM 250MG TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,88,,,,,99,96,1,0,Buy 5 get 1
DIVAA-OD 250MG TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,96.5,93.5,1,0,Buy 5 get 1
DIVAA-OD 500MG TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,85.4,82.4,1,0,Buy 5 get 1
DIZITAC TAB,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,107.3,104.3,1,0,Buy 5 get 1
DK GEL 30GM,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,77.9,74.9,1,0,Buy 5 get 1
DNS 0.45% 500ML (FSK),,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,117.9,114.9,1,0,Buy 5 get 1
DOLOKIND AQ 1ml INJ,,,10'S,,GRANDIX PHARMACEUTICALS LTD,,5,30,,,,,89,86,1,0,
DOLOWIN PLUS TAB,,,10'S,,GRANDIX PHARMACEUTICALS LTD,,5,10,,,,,27,24,1,0,
DOLOWIN-100MG TAB,,,10'S,,GRANDIX PHARMACEUTICALS LTD,,5,10,,,,,29,26,1,0,
DOLPIRITINE 100MG CAP,,,10'S,,GRANDIX PHARMACEUTICALS LTD,,5,1,,,,,70,67,1,0,
DOMIN 200MG/5ML INJ,,,10'S,,GRANDIX PHARMACEUTICALS LTD,,5,1,,,,,143.5,140.5,1,0,
