Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer,Distributor Name
NITROSUN 10MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,37,28.49,26.5,185.5,,AADITYA PHARMEX
DYNAPAR TAB,,,10'S,,TROIKAA PHARMACEUTICALS LTD,,5,69,,,,,41.25,31.43,26.98,485.67,Buy 5 get 1,AADITYA PHARMEX
O2 SYP,,, 30 ML,,MEDLEY PHARMACEUTICALS LIMITED,,5,62,,,,,42,32.34,27.07,351.89,,AADITYA PHARMEX
PROWEL DRY SYP 30 ML,,,30 ML,,ALKEM LABORATORIES LTD,,5,1,,,,,47,32.84,30.21,30.21,,AADITYA PHARMEX
T G TOR 5 .,,,10'S,,UNICHEM LABORATORIES LTD,,5,56,,,,,40.11,32.93,30.62,153.1,,AADITYA PHARMEX
SUPERMET  XL  50,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,90,,,,,43.5,33.14,30.49,853.72,,AADITYA PHARMEX
METROGYL GEL,,,30GM,,UNIQUE PHARMACEUTICALS LABS LTD,,5,74,,,,,43.53,33.17,30.52,30.52,,AADITYA PHARMEX
D 500 CAL,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,44,33.52,31.17,748.08,,AADITYA PHARMEX
ANOFER SP,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,44.3,34.1,31.62,1296.54,,AADITYA PHARMEX
DEPLATT CV,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,44.5,34.26,31.78,1239.48,,AADITYA PHARMEX
MACTOR EZ,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,45,,,,,45,34.65,32.22,32.22,,AADITYA PHARMEX
RELAXYL GEL 20 GM,,,20 GM,,FRANCO INDIAN III,,5,45,,,,,47.26,36.38,30.68,276.12,,AADITYA PHARMEX
TAXIM O DROPS 10 ML,,,11 ML,,ALKEM LABORATORIES LTD,,5,2,,,,,47,36.42,33.94,330.4,,AADITYA PHARMEX
POLYBION CZS,,,15'S,,MERCK LIMITED,,5,56,,,,,55.29,42.56,39.58,316.64,,AADITYA PHARMEX
GUMTONE GEL,,,50 GM,,CHARAK PHARMA PVT LTD,,5,37,,,,,56,42.66,35.98,503.67,,AADITYA PHARMEX
CREMALAX,,,10'S,,ABBOTT INDIA LTD,,5,1,,,,,53,43.28,36.28,1523.79,,AADITYA PHARMEX
TENOVATE OINT 15 GM,,,15 GM,,GLAXO TEAM II DERMA,,5,1,,,,,56.3,43.34,40.31,201.55,,AADITYA PHARMEX
REJUCALCIUM,,,30'S,,ANGLO FRENCH DRUGS & INDUSTRIES,,5,74,,,,,57,43.43,33.3,99.89,,AADITYA PHARMEX
TELVAS AM,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,56.43,43.43,40.39,444.29,,AADITYA PHARMEX
CODISTAR DX 100,,,100 ML,,MANKIND PHARMA LTD,,14.5,37,,,,,57,43.43,33.66,370.24,,AADITYA PHARMEX
INFINAIR 5/10,,,10'S,,PFIZER LIMITED,,5,45,,,,,77,58.66,48.57,97.14,Buy 10 get 1,AADITYA PHARMEX
DIGINE M/F GEL 170 ML,,,171 ML,,ABBOTT INDIA LTD,,5,26,,,,,83,64.14,56.18,608.03,,AADITYA PHARMEX
DIGINE M/F GEL 170 ML,,,171 ML,,ABBOTT INDIA LTD,,5,26,,,,,83,64.14,56.18,608.03,,AADITYA PHARMEX
EVICT SYP,,,201 ML,,ALBERT DAVID LIMITED,,5,70,,,,,214,163.29,151.93,3170.53,Buy 10 get 1,AADITYA PHARMEX
VOZUCA 0.3 ACTIVE,,,60's,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,217.5,165.71,154.11,1386.99,Buy 10 get 1,AADITYA PHARMEX
LIOFEN XL 20,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,218,166.1,154.47,617.88,Buy 10 get 1,AADITYA PHARMEX
GALVUSMET 50/1000,,,10'S,,NOVARTIS (INDIA) LTD,,5,25,,,,,220,169.67,156.46,3755.13,Buy 10 get 1,AADITYA PHARMEX
DERIVA CMS GEL,,,15 GM,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,233,170.41,150.97,4529.23,Buy 10 get 1,AADITYA PHARMEX
MYORIL 8MG,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,229,179.64,167.07,2673.06,,AADITYA PHARMEX
NEVANAC,,,5ML,,ALCON LABORATORIES (INDIA) PVT LTD,,5,1,,,,,245,186.67,173.6,1736,,AADITYA PHARMEX
MINIRIN 0.1 MG,,,15'S,,FERRING PHARMACEUTICALS,,5,,,,,,25,21,,,Buy 10 get 1,AADITYA PHARMEX
NEWPAN 40,,,10'S,,FERRING PHARMACEUTICALS,,5,,,,,,25,21,,,Buy 10 get 1,AADITYA PHARMEX
AMLONG 7.5 MG,,,10'S,,MICRO CARSYON,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
AVAS AM,,,10'S,,MICRO CARSYON,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
LOMOFEN,,,10'S,,RPG LIFE SCIENCES LTD,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
LOMOTIL,,,10'S,,RPG LIFE SCIENCES LTD,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
PROCTOSEDYL - M,,,20'S,,SANOVI AVENTIS PHARMA INDDIA,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
GLIMULIN MF,,,15'S,,HEALTHEON,,5,45,,,,,101.5,98.5,1,0,,AAM ENTERPRISES
NYCIL COOL HERBAL,,,150 GM,,HEINZ INDIA PVT LTD,,5,53,,,,,60,57,1,0,,AAM ENTERPRISES
HI COOL E/D,,,5 ML,,HI CARE PHARMA,,5,68,,,,,43.2,40.2,1,0,Buy 5 get 1,AAM ENTERPRISES
ASHVAGANDHA CAPS,,,60'S,,HIMALAYA,,5,78,,,,,90,87,1,0,Buy 5 get 1,AAM ENTERPRISES
BABY SOAP,,,70GM,,HIMALAYA,,5,78,,,,,28,25,1,0,Buy 5 get 1,AAM ENTERPRISES
BABY SOAP BIG,,,115GM,,HIMALAYA,,5,78,,,,,35,32,1,0,Buy 5 get 1,AAM ENTERPRISES
BABY WIPES 24'S,,,,,HIMALAYA,,5,78,,,,,55,52,1,0,Buy 5 get 1,AAM ENTERPRISES
BABY WIPES 72'S,,,72'S,,HIMALAYA,,5,78,,,,,150,147,1,0,Buy 5 get 1,AAM ENTERPRISES
NYCIL SANDAL,,,150 GM,,HEINZ INDIA PVT LTD,,5,53,,,,,60,57,1,0,Buy 5 get 1,ALERE MEDICAL PVT LTD
BABY WIPES 12'S,,,12'S,,HIMALAYA,,5,78,,,,,30,27,1,0,Buy 5 get 1,ALERE MEDICAL PVT LTD
MONOCEF O 100MG SYP,,,30ML,,ARISTO PHARMACEUTICALS LTD,,5,62,,,,,104.73,100.5,1,0,Buy 5 get 1,ALERE MEDICAL PVT LTD
MONOCEF O 50 SYP,,,30 ML,,ARISTO PHARMACEUTICALS LTD,,5,62,,,,,59.5,54.5,1,0,Buy 5 get 1,ALERE MEDICAL PVT LTD
MELACARE FORTE,,,16GM,,AJANTA PHARMA LTD,,5,91,,,,,159,156,2,1,,ALERE MEDICAL PVT LTD
MELACARE OINT,,,16 GM,,AJANTA PHARMA LTD,,5,2,,,,,154,151,2,1,,ALERE MEDICAL PVT LTD
SURGIMIDE 40 TAB,,,10'S,,FOCUS HEALTHCARE PVT LTD,,5,124,,,,,50,46,,,Buy 3 get 1,ALERE MEDICAL PVT LTD
SUZOX ET TAB,,,10'S,,FOCUS HEALTHCARE PVT LTD,,5,124,,,,,25,21,,,Buy 3 get 1,ALERE MEDICAL PVT LTD
ADVENT FORTE SYP,,,30 ML,,CIPLA LTD,,5,45,,,,,115,112,1,0,Buy 5 get 1,ARIEN LABS
AEROCORT FORTE ROTOCAP,,,30'S,,CIPLA LTD,,5,45,,,,,59,56,1,0,Buy 5 get 1,ARIEN LABS
ALERID TAB 10S,,,10'S,,CIPLA LTD,,5,45,,,,,20.16,17.16,1,0,Buy 5 get 1,ARIEN LABS
AMANTREL,,,15'S,,CIPLA LTD,,5,45,,,,,119,116,1,0,Buy 5 get 1,ARIEN LABS
AMLOPRES 10 MG,,,10'S,,CIPLA LTD,,5,45,,,,,61,58,1,0,,ARIEN LABS
ASSURANS,,,10'S,,CIPLA LTD,,5,45,,,,,150,147,1,0,,ARIEN LABS
ASTHALIN RESP/SOLN 15ML,,,1'S,,CIPLA LTD,,5,45,,,,,15.2,12.2,1,0,,ARIEN LABS
ASTHALIN SYRP 100ML,,,100ML,,CIPLA LTD,,5,45,,,,,15.75,12.75,1,0,,ARIEN LABS
ATORLIP 10MG,,,10'S,,CIPLA LTD,,5,45,,,,,65.93,62.93,1,0,,ARIEN LABS
ATORLIP 20,,,10'S,,CIPLA LTD,,5,45,,,,,190,187,1,0,,ARIEN LABS
ATORLIP 5 MG,,,10'S,,CIPLA LTD,,5,45,,,,,42.61,39.61,1,0,,ARIEN LABS
BECLATE 100 INH,,,,,CIPLA LTD,,5,45,,,,,249,246,1,0,,ARIEN LABS
BECLATE 100 ROTOCAPS 30S,,,30S,,CIPLA LTD,,5,45,,,,,44,41,1,0,,ARIEN LABS
EPILEX ORAL SOLUT 100 ML,,,100 ML,,ABBOTT INDIA LTD,,14.5,25,,,,,83.5,75,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
EVICT SYP 100ml,,,100 ml,,ALBERT DAVID LIMITED,,5,68,,,,,113.5,100,1,0,Buy 10 get 1,ASB AGENCIES PVT LTD
FERROCHELATE XT SYP,,,150 ML,,ALBERT DAVID LIMITED,,5,69,,,,,83.29,79,1,0,Buy 10 get 1,ASB AGENCIES PVT LTD
PLACENTREX CRM,,,20 GM,,ALBERT DAVID LIMITED,,5,69,,,,,73.5,68,1,0,Buy 10 get 1,ASB AGENCIES PVT LTD
TEARS NATURAL 5ML,,,5ML,,ALCON LABORATORIES (INDIA) PVT LTD,,5,1,,,,,59,55,1,0,Buy 10 get 1,ASB AGENCIES PVT LTD
CETIRIZ 30 ML,,,30 ML,,ALKEM LABORATORIES LTD,,5,1,,,,,28.1,25,1,0,Buy 10 get 1,ASB AGENCIES PVT LTD
LORSUMO FORTE,,,10'S,,ALKEM LABORATORIES LTD,,5,1,,,,,59,55,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
PROWEL CAP,,,10'S,,ALKEM LABORATORIES LTD,,5,1,,,,,69,62.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
TAXIM O CV DRY SYP,,,30 ML,,ALKEM LABORATORIES LTD,,5,45,,,,,67,62,1,0,,ASB AGENCIES PVT LTD
ZYMAR EYE OINT,,,5GM,,ALLERGAN INDIA LTD,,5,57,,,,,49,44,1,0,,ASB AGENCIES PVT LTD
AMRUTHANJAN STRONG 9 GM,,,9 GM,,AMRUTHANJAN LIMITED,,5,54,,,,,19,17,1,0,,ASB AGENCIES PVT LTD
AMRUTHANJAN YELLOW 9 GM,,,9 GM,,AMRUTHANJAN LIMITED,,5,54,,,,,19,17,1,0,,ASB AGENCIES PVT LTD
ZANDU BALM,,,,,AMRUTHANJAN LIMITED,,5,54,,,,,25,20,1,0,,ASB AGENCIES PVT LTD
BEPLEX FORTE SYP,,,120ML,,ANGLO FRENCH DRUGS & INDUSTRIES,,5,57,,,,,29.03,24,1,0,,ASB AGENCIES PVT LTD
CODYLEX LINCTUS 100,,,100 ML,,ANGLO FRENCH DRUGS & INDUSTRIES,,5,10,,,,,72.2,71,1,0,,ASB AGENCIES PVT LTD
EPILAN 150'S,,,150'S,,ANGLO FRENCH DRUGS & INDUSTRIES,,5,57,,,,,334.45,330,1,0,,ASB AGENCIES PVT LTD
EPILAN 50'S,,,50'S,,ANGLO FRENCH DRUGS & INDUSTRIES,,5,57,,,,,108.34,98,1,0,,ASB AGENCIES PVT LTD
PAPYTAZYME,,,10'S,,ANGLO FRENCH DRUGS & INDUSTRIES,,5,57,,,,,38.6,34,1,0,,ASB AGENCIES PVT LTD
ZINCOVIT,,,10'S,,APEX LABORATORIES LTD,,5,69,,,,,79,72.5,1,0,,ASB AGENCIES PVT LTD
ZINCOVIT DROPS,,,15ML,,APEX LABORATORIES LTD,,5,69,,,,,37.3,32.5,1,0,,ASB AGENCIES PVT LTD
ZINCOVIT SYP,,,200ML,,APEX LABORATORIES LTD,,5,69,,,,,84.5,79.8,1,0,,ASB AGENCIES PVT LTD
ARRCEF 200,,,10'S,,ARIEN LABS,,5,96,,,,,120,115.5,1,0,,ASB AGENCIES PVT LTD
ARRICOLD,,,10'S,,ARIEN LABS,,5,96,,,,,23,22.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
AMBRODIL SYP 100 ML,,,100 ML,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,16.14,12.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
ARISTOZYME CAP,,,15'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,33.9,32.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
CEFADRAX 500,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,56,,,,,35.89,31.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
MEGAHEAL GEL,,,15 GM,,ARISTO PHARMACEUTICALS LTD,,5,113,,,,,77.15,72.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
MEGAPEN,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,56,,,,,31.65,28.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
MIKACIN 100 MG INJ,,,,,ARISTO PHARMACEUTICALS LTD,,5,56,,,,,16.5,11.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
MONOCEF 500MG INJ,,,,,ARISTO PHARMACEUTICALS LTD,,5,56,,,,,42.15,37.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
MONOCEF O 100MG,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,62,,,,,96.42,90.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
ORINDA,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,47.3,42.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
PANTOP 40MG INJ,,,,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,54.11,49.8,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
BRICANYL 2.5MG,,,20'S,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,18,15.2,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
BRICANYL DURULE 5MG,,,10'S,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,17,12.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
BRICANYL SYP,,,100ML,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,30.7,29.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
CRESTOR 40,,,10'S,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,523.7,510.8,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
RAMACE 1.25,,,15'S,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,53.7,50.2,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
RAMACE 5,,,15'S,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,168.3,160.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
RHINOCORT AQUA 64 MCG,,,,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,269.1,260.5,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
RHINOCORT NASAL AEROSOL,,,,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,270.1,260.3,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
XYLOCAINE 2%  INJ 30 ML,,,30 ML,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,27,22.5,1,0,,ASB AGENCIES PVT LTD
XYLOCAINE 2% ADRENALINE,,,,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,31.3,29.5,1,0,,ASB AGENCIES PVT LTD
ENTEROGERMINA CAP,,,4'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,100.8,96.8,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
LACTACYD 50 ML,,,50 ML,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,71.98,68.98,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
MYCOSPOR CREAM 7.5 GM,,,7.5 GM,,BAYER PHARMA,,5,1,,,,,52.99,49.99,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
MYCOSPOR CRM 10,,,10 GM,,BAYER PHARMA,,5,57,,,,,49.07,46.07,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
NEOTREXATE,,,10'S,,BIDDLE SAWYER LIMITED,,5,64,,,,,57.85,54.85,1,0,,ASB AGENCIES PVT LTD
AMPILOX KID,,,10'S,,BIOCHEM PHARMACEUTICAL INDUSTRIAL LTD,,5,57,,,,,23.57,20.57,1,0,,ASB AGENCIES PVT LTD
AMPILOX SYP,,,30ML,,BIOCHEM PHARMACEUTICAL INDUSTRIAL LTD,,5,57,,,,,22.95,19.95,1,0,,ASB AGENCIES PVT LTD
ACTIBLOCK IPR 50 MG,,,10'S,,BIOCON LIMITED,,5,9,,,,,70,67,1,0,,ASB AGENCIES PVT LTD
INSUGEN 30/70 40IU,,,10 ML,,BIOCON LIMITED,,5,9,,,,,135.1,132.1,1,0,,ASB AGENCIES PVT LTD
INSUGEN N 40IU,,,10 ML,,BIOCON LIMITED,,5,9,,,,,145.66,142.66,1,0,,ASB AGENCIES PVT LTD
ANTIBAN ASP 75 MG CAP,,,10'S,,BLUE CROSS LABORATORIES LTD,,14.5,1,,,,,29,26,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
MEFTAL FORTE CREAM 50,,,50 GM,,BLUE CROSS LABORATORIES LTD,,14.5,1,,,,,55,52,1,0,Buy 5 get 1,ASB AGENCIES PVT LTD
4GI,,,10'S,,FIRST LINE PHARMACEUTICALS,,5,104,,,,,45,42,1,0,,ASB AGENCIES PVT LTD
FLACE PLUS,,,10'S,,FIRST LINE PHARMACEUTICALS,,5,104,,,,,36,33,1,0,,ASB AGENCIES PVT LTD
FLINCET D,,,10'S,,FIRST LINE PHARMACEUTICALS,,5,104,,,,,36,33,1,0,,ASB AGENCIES PVT LTD
SMYLE MOUTH BLIST,,,10GM,,GENO PHARMACEUTICALS LTD,,5,53,,,,,40,37,1,0,,ASB AGENCIES PVT LTD
VERTIGON,,,10'S,,GENO PHARMACEUTICALS LTD,,5,53,,,,,21.77,18.77,1,0,,ASB AGENCIES PVT LTD
ALLRITE 5 MG,,,10'S,,GERMAN REMEDIES,,5,1,,,,,42.8,39.8,1,0,,ASB AGENCIES PVT LTD
BILOVAS,,,10'S,,GERMAN REMEDIES,,5,1,,,,,144.9,141.9,1,0,,ASB AGENCIES PVT LTD
BUSCOPAN 10 MG,,,10'S,,GERMAN REMEDIES,,5,1,,,,,39.5,36.5,1,0,,ASB AGENCIES PVT LTD
