Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer,Distributor Name
HEXIDINE M/W 80,,,80 ML,,ICPA HEALTH PRODUCTS LTD,,5,56,,,,,27.6,24.6,1,0,,C R AGENCIES
MUCOPAIN OINT 15,,,15 GM,,ICPA HEALTH PRODUCTS LTD,,5,56,,,,,36,33,1,0,,C R AGENCIES
THERMOSEAL 100,,,100 GM,,ICPA HEALTH PRODUCTS LTD,,5,56,,,,,52.6,49.6,1,0,,C R AGENCIES
THERMOSEAL RA 50,,,50 GM,,ICPA HEALTH PRODUCTS LTD,,5,56,,,,,31,28,1,0,,C R AGENCIES
FUSIDERM OINT 10,,,10 GM,,INDI PHARMA PVT LTD,,5,68,,,,,68,65,1,0,,C R AGENCIES
JUSGO SPRAY 75 GMS,,,75 GMS,,INDI PHARMA PVT LTD,,5,68,,,,,127,124,1,0,,C R AGENCIES
ATM 100 SUSP 15 ML,,,15 ML,,INDOCO REMEDIES LTD,,5,45,,,,,24.41,21.41,1,0,,C R AGENCIES
ATM 200 SUSP 15 ML,,,15 ML,,INDOCO REMEDIES LTD,,5,45,,,,,48.9,45.9,1,0,,C R AGENCIES
ATM 250,,,6'S,,INDOCO REMEDIES LTD,,5,45,,,,,80.7,77.7,1,0,,C R AGENCIES
ATM 500,,,3'S,,INDOCO REMEDIES LTD,,5,45,,,,,81.51,78.51,1,0,,C R AGENCIES
CARMICIDE 100 ML,,,100 ML,,INDOCO REMEDIES LTD,,5,45,,,,,32.97,29.97,1,0,,C R AGENCIES
GLADOR 2,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,49.9,46.9,1,0,,C R AGENCIES
GLUCONORM PG 2,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,89.3,86.3,1,0,,C R AGENCIES
GLUCONORM PG1,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,75,72,1,0,,C R AGENCIES
MISOBIT 50,,,10'S,,LUPIN LABORATORIES LTD,,5,53,,,,,118.47,115.47,1,0,Buy 5 get 1,C R AGENCIES
NEBISTAR SA,,,10'S,,LUPIN LABORATORIES LTD,,5,57,,,,,98,95,1,0,Buy 5 get 1,C R AGENCIES
ODOXIL 250mg DT,,,10'S,,LUPIN LABORATORIES LTD,,5,75,,,,,19.12,16.12,1,0,Buy 5 get 1,C R AGENCIES
PATH 15,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,41,38,1,0,Buy 5 get 1,C R AGENCIES
PINOM 20,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,74.5,71.5,1,0,Buy 5 get 1,C R AGENCIES
PINOM A 20,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,75,72,1,0,Buy 5 get 1,C R AGENCIES
PINOM H 40,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,120,117,1,0,Buy 5 get 1,C R AGENCIES
PREGASTER M 75,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,111.5,108.5,1,0,Buy 5 get 1,C R AGENCIES
PYZINA 1000,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,96.17,93.17,1,0,Buy 5 get 1,C R AGENCIES
R-CIN 150,,,10'S,,LUPIN LABORATORIES LTD,,5,57,,,,,15.83,12.83,1,0,Buy 5 get 1,C R AGENCIES
RABLET D,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,104,101,1,0,Buy 5 get 1,C R AGENCIES
SALBAIR INHALER,,,,,LUPIN LABORATORIES LTD,,5,37,,,,,87.66,84.66,1,0,,C R AGENCIES
SALBAIR TRA CAP,,,30'S,,LUPIN LABORATORIES LTD,,5,37,,,,,25.35,22.35,1,0,,C R AGENCIES
STALOPAM 10,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,68.4,65.4,1,0,,C R AGENCIES
VALENT 40MG,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,55.1,52.1,1,0,,C R AGENCIES
VALENT 80MG,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,85.79,82.79,1,0,,C R AGENCIES
ACUCLAV 625,,,6'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,86,,,,,70.8,67.8,1,0,,C R AGENCIES
CEFOLAC 50 MG SYP,,,30 ML,,MACLEODS PHARMACEUTICALS PVT LTD,,5,86,,,,,49.5,46.5,1,0,,C R AGENCIES
OMNACORTIL 10 **,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,57,,,,,9.86,6.86,1,0,,C R AGENCIES
OMNACORTIL 20 **,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,57,,,,,18.32,15.32,1,0,,C R AGENCIES
OMNACORTIL 5 **,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,57,,,,,5.83,2.83,1,0,,C R AGENCIES
ORCERIN GM,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,45,,,,,142,139,1,0,,C R AGENCIES
VOGLIMAC MF 0.3,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,45,,,,,96,93,1,0,,C R AGENCIES
CALCIT,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,30,27,1,0,,C R AGENCIES
CZINE L,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,25,22,1,0,,C R AGENCIES
MACE P,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,30,27,1,0,,C R AGENCIES
MAXFORTE,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,50,47,1,0,,C R AGENCIES
AMLOKIND L,,,10'S,,MANKIND PHARMA LTD,,14.5,57,,,,,36.3,33.3,1,0,,C R AGENCIES
CLARINOVA 250,,,6'S,,MANKIND PHARMA LTD,,14.5,48,,,,,84,81,1,0,,C R AGENCIES
DOLOKIND GEL,,,15 GM,,MANKIND PHARMA LTD,,14.5,1,,,,,20,17,1,0,,C R AGENCIES
DOLOKIND SR,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,26.9,23.9,1,0,,C R AGENCIES
ELECTROKIND LEMON,,,200ML,,MANKIND PHARMA LTD,,5,57,,,,,20,17,1,0,,C R AGENCIES
EMIKIND MD,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,19.2,16.2,1,0,,C R AGENCIES
FLOKIND F,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,98.5,95.5,1,0,,C R AGENCIES
FLORA BC SYP,,,60 ML,,MANKIND PHARMA LTD,,5,1,,,,,24,21,1,0,,C R AGENCIES
FYNAL OZ,,,6'S,,MANKIND PHARMA LTD,,5,1,,,,,36,33,1,0,Buy 5 get 1,C R AGENCIES
GASTICA PLUS,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,38.5,35.5,1,0,Buy 5 get 1,C R AGENCIES
GLYKIND 80MG,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,21.9,18.9,1,0,Buy 5 get 1,C R AGENCIES
GRANIFORCE MD,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,47.5,44.5,1,0,Buy 5 get 1,C R AGENCIES
GUDCEF 100,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,69.9,66.9,1,0,Buy 5 get 1,C R AGENCIES
GUDCEF 50,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,39.9,36.9,1,0,Buy 5 get 1,C R AGENCIES
GUDCEF CV 200,,,6'S,,MANKIND PHARMA LTD,,5,48,,,,,120,117,1,0,Buy 5 get 1,C R AGENCIES
GUDCEF PLUS,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,140,137,1,0,Buy 5 get 1,C R AGENCIES
GUDLA PLUS SUSP,,,110ML,,MANKIND PHARMA LTD,,5,1,,,,,49.39,46.39,1,0,Buy 5 get 1,C R AGENCIES
LIPIKIND 20,,,10's,,MANKIND PHARMA LTD,,5,37,,,,,41.5,38.5,1,0,Buy 5 get 1,C R AGENCIES
LIPIKIND EZ 10,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,85,82,1,0,Buy 5 get 1,C R AGENCIES
LIPIKIND PLUS,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,36.8,33.8,1,0,Buy 5 get 1,C R AGENCIES
LONGIFENE TAB,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,15,12,1,0,,C R AGENCIES
LOSAKIND 25,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,16.4,13.4,1,0,,C R AGENCIES
LYCOSTAR,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,82.5,79.5,1,0,,C R AGENCIES
MAHACEF 100,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,44.9,41.9,1,0,,C R AGENCIES
MAHACEF CV KID,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,44.9,41.9,1,0,,C R AGENCIES
MANFORCE 50,,,9'S,,MANKIND PHARMA LTD,,5,37,,,,,225,222,1,0,,C R AGENCIES
MANKINDS PLACIDA,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,51,48,1,0,,C R AGENCIES
MIKASTAR 250 INJ,,,2 ML,,MANKIND PHARMA LTD,,5,51,,,,,30,27,1,0,,C R AGENCIES
MIKASTAR 500 INJ,,,2 ML,,MANKIND PHARMA LTD,,5,51,,,,,44,41,1,0,,C R AGENCIES
MOXIKIND 250,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,32.5,29.5,1,0,,C R AGENCIES
MOXIKIND 500,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,62,59,1,0,,C R AGENCIES
MOXIKIND CV FORTE  SYP,,,30 ML,,MANKIND PHARMA LTD,,5,48,,,,,75,72,1,0,,C R AGENCIES
NOBEL GEL 10GM,,,,,MANKIND PHARMA LTD,,5,1,,,,,15,12,1,0,,C R AGENCIES
NUROKIND D3,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,88,85,1,0,,C R AGENCIES
NUROKIND NEXT,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,119.85,116.85,1,0,,C R AGENCIES
OLMETIME 20MG,,,,,MANKIND PHARMA LTD,,5,48,,,,,30,27,1,0,,C R AGENCIES
OTOCIN E/D,,,5 ML,,MANKIND PHARMA LTD,,5,57,,,,,29,26,1,0,,C R AGENCIES
OTOCIN O,,,5 ML,,MANKIND PHARMA LTD,,5,37,,,,,29.99,26.99,1,0,,C R AGENCIES
PANTAKIND DSR,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,55,52,1,0,,C R AGENCIES
PANTAKIND FAST,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,42.5,39.5,1,0,,C R AGENCIES
RAMIHART 2.5,,,7'S,,MANKIND PHARMA LTD,,5,37,,,,,14.63,11.63,1,0,,C R AGENCIES
RAMIHART 5,,,7'S,,MANKIND PHARMA LTD,,5,37,,,,,22.75,19.75,1,0,,C R AGENCIES
RAMIHART H 2.5,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,30,27,1,0,,C R AGENCIES
RANIDOM O SYP,,,200 ML,,MANKIND PHARMA LTD,,5,1,,,,,62,59,1,0,,C R AGENCIES
RUTOHEAL  D,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,160,157,1,0,,C R AGENCIES
T 98 DS SUS,,,60 ML,,MANKIND PHARMA LTD,,5,1,,,,,27,24,1,0,,C R AGENCIES
TERBIFORCE,,,7'S,,MANKIND PHARMA LTD,,5,48,,,,,84,81,1,0,,C R AGENCIES
THERMOKIND F GEL100,,,100 GM,,MANKIND PHARMA LTD,,5,37,,,,,70,67,1,0,,C R AGENCIES
UNWANTED KIT,,,1'S,,MANKIND PHARMA LTD,,5,1,,,,,499,496,1,0,,C R AGENCIES
VERTISTAR  MD 8,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,25.4,22.4,1,0,,C R AGENCIES
VOGLISTAR GM 2,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,104.5,101.5,1,0,,C R AGENCIES
VOGLISTAR MD 0.3,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,62.7,59.7,1,0,,C R AGENCIES
VOMIKIND  INJ,,,2ML,,MANKIND PHARMA LTD,,5,57,,,,,13.9,10.9,1,0,,C R AGENCIES
ZADY 100,,,3'S,,MANKIND PHARMA LTD,,5,1,,,,,15,12,1,0,,C R AGENCIES
ZENFLOX 400,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,65,62,1,0,,C R AGENCIES
ZENFLOX E/D,,,10 ML,,MANKIND PHARMA LTD,,5,37,,,,,24.99,21.99,1,0,,C R AGENCIES
ZENFLOX OZ SUP,,,30 ML,,MANKIND PHARMA LTD,,5,37,,,,,33,30,1,0,,C R AGENCIES
ZEROFAT 120,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,220,217,1,0,,C R AGENCIES
ZEROFAT 60,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,110,107,1,0,,C R AGENCIES
KETO POWDER,,,50 GM,,MED MANOR ORGANICS PVT LTD,,5,68,,,,,49,46,1,0,,C R AGENCIES
SKINN C,,,75 GMS,,MED MANOR ORGANICS PVT LTD,,5,68,,,,,38.5,35.5,1,0,,C R AGENCIES
R B TONE SYP,,,200ML,,MEDLEY PHARMACEUTICALS LIMITED,,5,62,,,,,91,88,1,0,,C R AGENCIES
R B TONE TAB,,,15'S,,MEDLEY PHARMACEUTICALS LIMITED,,5,62,,,,,47,44,1,0,,C R AGENCIES
TELMED 20,,,10'S,,MEDLEY PHARMACEUTICALS LIMITED,,5,86,,,,,39,36,1,0,,C R AGENCIES
TELMED 40,,,10'S,,MEDLEY PHARMACEUTICALS LIMITED,,5,86,,,,,77,74,1,0,,C R AGENCIES
K-STAT 250,,,10'S,,MERCURY LABORATORIES LIMITED,,5,68,,,,,79.8,76.8,1,0,,C R AGENCIES
CALCIMAX OP,,,15'S,,MEYER,,5,7,,,,,187.5,184.5,1,0,Buy 5 get 1,C R AGENCIES
IMMUNACE SYP,,,200 ML,,MEYER ORGANICS LTD,,5,7,,,,,103.3,100.3,1,0,,C R AGENCIES
TAZLOC TRIO 40,,,10'S,,USV,,14.5,113,,,,,99,96,1,0,,C R AGENCIES
REXIDINE PLUS,,,175 ML,,WARREN,,5,69,,,,,68.68,65.68,1,0,,C R AGENCIES
DIGINE FIZZ ORANGE SAC,,,2'S,,ABBOTT INDIA LTD,,5,106,,,,,6,3,2,1,,C R AGENCIES
ACNIL SOAP,,,75GM,,MARK (INDIA) COSMED PVT LTD,,5,48,,,,,55,42.25,36.27,471.51,Buy 10 get 1,C R AGENCIES
GLY-SEB,,,75 GM,,MARK (INDIA) COSMED PVT LTD,,5,48,,,,,55,42.25,36.27,1051.83,Buy 10 get 1,C R AGENCIES
ACECLO PLUS,,,15'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,54.9,42.27,35.11,351.14,Buy 10 get 1,C R AGENCIES
RIFLUX FORTE LIQ 200 ML,,,200 ML,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,55,42.33,35.13,140.52,Buy 10 get 1,C R AGENCIES
PROAMLO TAB,,,10'S,,CARDIMED,,5,134,,,,,59.2,45.1,40.53,810.6,,C R AGENCIES
PIRITON EXP 120 ML,,,120 ML,,GLAXO ENTRO PLUS TEAM I,,5,53,,,,,58.6,45.12,38.74,697.37,,C R AGENCIES
R-CINEX 450,,,10'S,,LUPIN LABORATORIES LTD,,5,57,,,,,56,45.23,42.06,252.36,,C R AGENCIES
A TO Z NS TAB,,,16'S,,ALKEM LABORATORIES LTD,,5,57,,,,,63,45.33,41.78,41.78,,C R AGENCIES
LIBRAX,,,15'S,,NICHOLAS PIRAMAL INDIA LTD,,5,45,,,,,59.5,45.33,41.7,959.1,,C R AGENCIES
TECZINE 5,,,10'S,,RANBAXY LABORATORIES LTD,,5,62,,,,,59.5,45.34,41.71,417.1,,C R AGENCIES
URIMAX 0.2 TAB,,,10'S,,CIPLA LTD,,5,45,,,,,59,45.43,42.25,126.75,,C R AGENCIES
GLYPRIDE 1MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,59,45.43,42.25,633.75,,C R AGENCIES
NITREST 5MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,59,45.43,42.25,591.5,,C R AGENCIES
SIZODON PLUS 10,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,57,,,,,59,45.43,42.25,253.5,,C R AGENCIES
TEFZOL,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,55,45.6,40.37,3148.7,Buy 10 get 1,C R AGENCIES
CARDACE 2.5MG,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,59.3,45.65,42.45,2801.91,Buy 10 get 1,C R AGENCIES
GEMINOR M1,,,15'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,86,,,,,79.65,61.33,57.04,1711.2,,C R AGENCIES
GLYCOMET GP 1,,,15'S,,USV,,5,25,,,,,80.5,61.34,57.05,1540.35,,C R AGENCIES
MYCODERM POWDER,,,100 GM,,FDC LIMITED,,5,69,,,,,80,61.58,50.99,152.96,,C R AGENCIES
EBAST DC,,,10'S,,MICRO LABS LTD (INDIA),,5,1,,,,,80,61.6,56.67,226.68,,C R AGENCIES
HARTY CAP,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,90,64.34,59.84,718.08,,C R AGENCIES
NEBISTAR 5MG,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,84.5,64.38,59.87,658.57,,C R AGENCIES
RENERVE CAP,,,15'S,,GRANDIX PHARMACEUTICALS LTD,,5,1,,,,,142.87,108.86,92.62,1481.86,Buy 10 get 1,C R AGENCIES
AMARYL M2,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,143,110.08,102.38,6040.21,,C R AGENCIES
SOMPRAZ IT,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,143,110.1,102.34,1125.74,,C R AGENCIES
RAZO L,,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,189,144,133.92,937.44,,C R AGENCIES
PANTOCID IT,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,190,146.29,136.05,816.3,,C R AGENCIES
ROMILAST 10,,,15'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,210.5,160.38,149.15,149.15,,C R AGENCIES
