Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer,Distributor Name
NITROSUN 10MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,37,28.49,26.5,185.5,,AADITYA PHARMEX
DYNAPAR TAB,,,10'S,,TROIKAA PHARMACEUTICALS LTD,,5,69,,,,,41.25,31.43,26.98,485.67,Buy 5 get 1,AADITYA PHARMEX
O2 SYP,,, 30 ML,,MEDLEY PHARMACEUTICALS LIMITED,,5,62,,,,,42,32.34,27.07,351.89,,AADITYA PHARMEX
PROWEL DRY SYP 30 ML,,,30 ML,,ALKEM LABORATORIES LTD,,5,1,,,,,47,32.84,30.21,30.21,,AADITYA PHARMEX
T G TOR 5 .,,,10'S,,UNICHEM LABORATORIES LTD,,5,56,,,,,40.11,32.93,30.62,153.1,,AADITYA PHARMEX
SUPERMET  XL  50,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,90,,,,,43.5,33.14,30.49,853.72,,AADITYA PHARMEX
METROGYL GEL,,,30GM,,UNIQUE PHARMACEUTICALS LABS LTD,,5,74,,,,,43.53,33.17,30.52,30.52,,AADITYA PHARMEX
D 500 CAL,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,44,33.52,31.17,748.08,,AADITYA PHARMEX
ANOFER SP,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,44.3,34.1,31.62,1296.54,,AADITYA PHARMEX
DEPLATT CV,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,44.5,34.26,31.78,1239.48,,AADITYA PHARMEX
MACTOR EZ,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,45,,,,,45,34.65,32.22,32.22,,AADITYA PHARMEX
RELAXYL GEL 20 GM,,,20 GM,,FRANCO INDIAN III,,5,45,,,,,47.26,36.38,30.68,276.12,,AADITYA PHARMEX
TAXIM O DROPS 10 ML,,,11 ML,,ALKEM LABORATORIES LTD,,5,2,,,,,47,36.42,33.94,330.4,,AADITYA PHARMEX
POLYBION CZS,,,15'S,,MERCK LIMITED,,5,56,,,,,55.29,42.56,39.58,316.64,,AADITYA PHARMEX
GUMTONE GEL,,,50 GM,,CHARAK PHARMA PVT LTD,,5,37,,,,,56,42.66,35.98,503.67,,AADITYA PHARMEX
CREMALAX,,,10'S,,ABBOTT INDIA LTD,,5,1,,,,,53,43.28,36.28,1523.79,,AADITYA PHARMEX
TENOVATE OINT 15 GM,,,15 GM,,GLAXO TEAM II DERMA,,5,1,,,,,56.3,43.34,40.31,201.55,,AADITYA PHARMEX
REJUCALCIUM,,,30'S,,ANGLO FRENCH DRUGS & INDUSTRIES,,5,74,,,,,57,43.43,33.3,99.89,,AADITYA PHARMEX
TELVAS AM,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,56.43,43.43,40.39,444.29,,AADITYA PHARMEX
CODISTAR DX 100,,,100 ML,,MANKIND PHARMA LTD,,14.5,37,,,,,57,43.43,33.66,370.24,,AADITYA PHARMEX
INFINAIR 5/10,,,10'S,,PFIZER LIMITED,,5,45,,,,,77,58.66,48.57,97.14,Buy 10 get 1,AADITYA PHARMEX
DIGINE M/F GEL 170 ML,,,171 ML,,ABBOTT INDIA LTD,,5,26,,,,,83,64.14,56.18,608.03,,AADITYA PHARMEX
DIGINE M/F GEL 170 ML,,,171 ML,,ABBOTT INDIA LTD,,5,26,,,,,83,64.14,56.18,608.03,,AADITYA PHARMEX
EVICT SYP,,,201 ML,,ALBERT DAVID LIMITED,,5,70,,,,,214,163.29,151.93,3170.53,Buy 10 get 1,AADITYA PHARMEX
VOZUCA 0.3 ACTIVE,,,60's,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,217.5,165.71,154.11,1386.99,Buy 10 get 1,AADITYA PHARMEX
LIOFEN XL 20,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,218,166.1,154.47,617.88,Buy 10 get 1,AADITYA PHARMEX
GALVUSMET 50/1000,,,10'S,,NOVARTIS (INDIA) LTD,,5,25,,,,,220,169.67,156.46,3755.13,Buy 10 get 1,AADITYA PHARMEX
DERIVA CMS GEL,,,15 GM,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,233,170.41,150.97,4529.23,Buy 10 get 1,AADITYA PHARMEX
MYORIL 8MG,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,229,179.64,167.07,2673.06,,AADITYA PHARMEX
NEVANAC,,,5ML,,ALCON LABORATORIES (INDIA) PVT LTD,,5,1,,,,,245,186.67,173.6,1736,,AADITYA PHARMEX
MINIRIN 0.1 MG,,,15'S,,FERRING PHARMACEUTICALS,,5,,,,,,25,21,,,Buy 10 get 1,AADITYA PHARMEX
NEWPAN 40,,,10'S,,FERRING PHARMACEUTICALS,,5,,,,,,25,21,,,Buy 10 get 1,AADITYA PHARMEX
AMLONG 7.5 MG,,,10'S,,MICRO CARSYON,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
AVAS AM,,,10'S,,MICRO CARSYON,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
LOMOFEN,,,10'S,,RPG LIFE SCIENCES LTD,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
LOMOTIL,,,10'S,,RPG LIFE SCIENCES LTD,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
PROCTOSEDYL - M,,,20'S,,SANOVI AVENTIS PHARMA INDDIA,,5,,,,,,35,31,,,Buy 10 get 1,AADITYA PHARMEX
